asin,title,price_csv,price_page,rating_csv,rating_page,reviews_csv,reviews_page,title_verified,verified_at
B01K1K0K6M,"Step2 Rain Showers Splash Pond Water Table, Kids Water and Sand Activity Sensory Playset, Summer Outdoor Toys, 13 Piece Water Toy Accessories, For Tod",80.0,575.97,4.7,4.7,23400,23451,True,2026-06-06 10:06:25
B07MK5H9N2,"Step2 Rain Showers and Unicorns Water Table, Kids Water and Sand Activity Sensory Playset, Summer Outdoor Toys, 13 Piece Water Toy Accessories, for To",79.05,569.19,4.7,4.7,9900,9907,True,2026-06-06 10:06:28
B0FJMQB63N,"CGE Codenames Board Game (2nd Edition) The Top Secret Word Association Party Game for Friends & Family Game Nights, 4+ Players",23.51,169.29,4.8,4.8,29000,29086,True,2026-06-06 10:06:30
B09S3ZJJRM,"The Chameleon: Award-Winning Bluffing Board Game for Family, Adults & Friends | Includes 80 Extra Secret Words | Who is The Imposter?",23.52,169.35,4.8,4.8,8600,8610,True,2026-06-06 10:06:33
B00000IZJB,"Pressman Rummikub - The Original Rummy Tile Game | Exciting Family Game of Strategy and Luck | Promotes STEM Skills | For Kids, Teens, Adults | 2-4 Pl",17.57,126.52,4.8,4.8,34700,34764,True,2026-06-06 10:06:35
B06XY48MK1,"Hasbro Gaming The Game of Life Board Game, Family Games for Kids Ages 8+, Includes 31 Careers, Family Board Games for 2-4 Players, (Amazon Exclusive)",19.76,142.25,4.7,4.7,9500,9552,True,2026-06-06 10:06:37
B0BGN1YDJH,"Kikidex Magnetic Drawing Board, Toddler Girl Toys for 1-3 Year Old, Doodle Board Pad Learning and Educational Toys for 1 2 3 Year Old Baby Kids Birthd",26.34,189.68,4.5,4.5,10700,10700,True,2026-06-06 10:06:40
B005DUW6EK,"Intex Inflatable Dinosaur Play Center Outdoor Playhouse Inflatable Water Park with Kid Pool Slide, Water Sprayer, Waterfall, and 6 Balls, Multicolor",56.46,406.54,4.3,4.3,18300,18345,True,2026-06-06 10:06:42
B087CBJ465,"Do You Really Know Your Family? A Fun Family Game Filled with Conversation Starters and Challenges - Great for Kids, Teens and Adults",18.66,134.32,4.6,4.6,16600,16611,True,2026-06-06 10:06:45
B00EUBD14C,"Playmags Magnetic Tiles for Kids 100-Piece Set, STEM Educational Building Blocks Toys for Kids, Includes Click-in ABC Learning Tiles, Gift for Boys & ",28.23,203.24,4.8,4.8,16000,16057,True,2026-06-06 10:06:47
